Levada;Instrumento;Compasso_1;Compasso_2;Compasso_3;Compasso_4;Duracao;Loop_C2
PeTaLa;Xequerê;pe ta la | pe ta la | pe ta la | pe ta la;pe ta la | pe ta la | pe ta la | pe ta la;;;;
PeTe--Co;Dobra;pe te -- co | pe te -- co | pe te -- co | pe te -- co;pe te -- co | pe te -- co | pe te -- co | pe te -- co;;;;
PeTe--Co;Caixa;pe te -- co | pe te -- co | pe te -- co | pe te -- co;pe te -- co | pe te -- co | pe te -- co | pe te -- co;;;;
PeTe--Co;Fundo 1;pe te -- co | pe te -- co | pe te -- co | pe te -- co;pe te -- co | pe te -- co | pe te -- co | pe te -- co;;;;
PeTe--Co;Fundo 2;pe te -- co | pe te -- co | pe te -- co | pe te -- co;pe te -- co | pe te -- co | pe te -- co | pe te -- co;;;;
PeTe--Co;Repique;pe te -- co | pe te -- co | pe te -- co | pe te -- co;pe te -- co | pe te -- co | pe te -- co | pe te -- co;;;;
PeTe--Co;Xequerê;pe te -- co | pe te -- co | pe te -- co | pe te -- co;pe te -- co | pe te -- co | pe te -- co | pe te -- co;;;;
PeTeLe--;Dobra;pe te le -- | pe te le -- | pe te le -- | pe te le --;pe te le -- | pe te le -- | pe te le -- | pe te le --;;;;
PeTeLe--;Caixa;pe te le -- | pe te le -- | pe te le -- | pe te le --;pe te le -- | pe te le -- | pe te le -- | pe te le --;;;;
PeTeLe--;Fundo 1;pe te le -- | pe te le -- | pe te le -- | pe te le --;pe te le -- | pe te le -- | pe te le -- | pe te le --;;;;
PeTeLe--;Fundo 2;pe te le -- | pe te le -- | pe te le -- | pe te le --;pe te le -- | pe te le -- | pe te le -- | pe te le --;;;;
PeTeLe--;Repique;pe te le -- | pe te le -- | pe te le -- | pe te le --;pe te le -- | pe te le -- | pe te le -- | pe te le --;;;;
PeTeLe--;Xequerê;pe te le -- | pe te le -- | pe te le -- | pe te le --;pe te le -- | pe te le -- | pe te le -- | pe te le --;;;;
PeTeLeCo;Dobra;pe te le co | pe te le co | pe te le co | pe te le co;pe te le co | pe te le co | pe te le co | pe te le co;;;;
PeTeLeCo;Caixa;pe te le co | pe te le co | pe te le co | pe te le co;pe te le co | pe te le co | pe te le co | pe te le co;;;;
PeTeLeCo;Repique;pe te le co | pe te le co | pe te le co | pe te le co;pe te le co | pe te le co | pe te le co | pe te le co;;;;
PeTeLeCo;Fundo 1;pe te le co | pe te le co | pe te le co | pe te le co;pe te le co | pe te le co | pe te le co | pe te le co;;;;
PeTeLeCo;Fundo 2;pe te le co | pe te le co | pe te le co | pe te le co;pe te le co | pe te le co | pe te le co | pe te le co;;;;
PeTeLeCo;Xequerê;pe te le co | pe te le co | pe te le co | pe te le co;pe te le co | pe te le co | pe te le co | pe te le co;;;;
Reggae;Repique;pe te LE co | pe te LE co | pe te LE co | pe TE.TE LE co;pe te LE co | pe te LE co | pe te LE co | pe TE.TE LE co;;;;
Reggae;Caixa;pe te LE~ co | pe te LE~ co | pe te LE~ co | pe te LE~ co;pe te LE~ co | pe te LE~ co | pe te LE~ co | pe te LE~ co;;;;
Reggae;Xequerê;-- -- le -- | -- -- le -- | -- -- le -- | pe te le --;-- -- le -- | -- -- le -- | -- -- le -- | pe te le --;;;;
Reggae;Dobra;-- -- -- -- | pe te le -- | -- -- -- -- | pe te le --;-- -- -- -- | pe te le -- | -- -- le co | -- te le --;;;;
Reggae;Fundo 1;pe -- -- -- | -- -- -- -- | pe -- -- -- | -- -- -- --;pe -- -- -- | -- -- -- -- | pe -- -- -- | -- -- -- --;;;;
Reggae;Fundo 2;-- -- -- -- | pe -- -- -- | -- -- -- -- | pe -- -- --;-- -- -- -- | pe -- -- -- | -- -- -- -- | pe -- -- --;;;;
Samba Duro;Dobra;(pe) -- -- -- | pe te le co | pe -- -- -- | pe te le co;pe -- -- -- | pe te le co | pe te le co | pe te le co;;;;
Samba Duro;Caixa;PE te le CO | pe te LE co | PE te le CO | pe te LE co;PE te le CO | pe te LE co | PE te le CO | pe te LE co;;;;
Samba Duro;Fundo 1;-- -- -- -- | pe -- -- -- | -- -- -- -- | pe -- -- --;-- -- -- -- | pe -- -- -- | -- -- -- -- | pe -- -- --;;;;
Samba Duro;Fundo 2;pe -- -- -- | -- -- -- -- | pe -- -- -- | -- -- -- --;pe -- -- -- | -- -- -- -- | pe -- -- -- | -- -- -- --;;;;
Samba Duro;Repique;pe TE le CO | pe te LE co | PE te le CO | pe te LE co;pe TE le CO | pe te LE co | PE te le CO | pe te LE co;;;;
Samba Duro;Xequerê;pe te -- co | pe -- -- -- | pe te -- co | pe -- -- --;pe te -- co | pe -- -- -- | pe te -- co | pe -- -- --;;;;
Samba Reggae;Dobra;(pe) -- -- -- | -- -- le -- | -- -- -- -- | pe te le co;pe -- -- -- | -- -- le -- | -- -- -- -- | pe te le co;;;;
Samba Reggae;Caixa;pe te le~ co | pe te le~ co | pe te le~ co | pe te le~ co;pe te le~ co | pe te le~ co | pe te le~ co | pe te le~ co;;;;
Samba Reggae;Fundo 1;pe -- -- -- | -- -- -- -- | pe -- -- -- | -- -- -- --;pe -- -- -- | -- -- -- -- | pe -- -- -- | -- -- -- --;;;;
Samba Reggae;Fundo 2;-- -- -- -- | pe -- -- -- | -- -- -- -- | pe -- -- --;-- -- -- -- | pe -- -- -- | -- -- -- -- | pe -- -- --;;;;
Samba Reggae;Repique;pe -- -- co | -- -- le -- | -- -- le -- | -- te -- --;pe -- -- co | -- -- le -- | -- -- le -- | -- te -- --;;;;
Samba Reggae;Xequerê;pe -- le co | pe -- le co | pe -- le co | pe -- le co;pe -- le co | pe -- le co | pe -- le co | pe -- le co;;;;
Swing 1;Repique;pe -- -- co | -- -- -- co | -- -- le -- | pe -- -- --;pe -- -- co | -- -- -- co | -- -- le -- | pe -- -- --;;;;Sim
Swing 1;Caixa;-- -- -- -- | -- -- -- -- | -- -- -- -- | -- -- -- --;pe te LE~ co | pe te LE~ co | pe te LE~ co | pe te LE~ co;;;;Sim
Swing 1;Xequerê;-- -- -- -- | -- -- -- -- | -- -- -- -- | -- -- -- --;-- -- le -- | pe -- le -- | -- -- le -- | pe -- le --;;;;Sim
Swing 1;Dobra;-- -- -- -- | -- -- -- -- | -- -- -- -- | -- -- le --;-- -- -- -- | -- -- le -- | -- -- -- -- | -- -- le --;;;;Sim
Swing 1;Fundo 1;-- -- -- -- | -- -- -- -- | -- -- -- -- | -- -- -- --;-- -- -- -- | pe -- -- -- | -- -- -- -- | pe -- -- --;;;;Sim
Swing 1;Fundo 2;-- -- -- -- | -- -- -- -- | -- -- -- -- | -- -- -- --;pe -- -- -- | -- -- -- -- | pe -- -- -- | -- -- -- --;;;;Sim
Swing 2;Repique;PE te le CO | pe te le CO | pe te LE co | PE te le co;PE te le CO | pe te le CO | pe te LE co | PE te le co;;;;Sim
Swing 2;Caixa;-- -- -- -- | -- -- -- -- | -- -- -- -- | -- -- -- --;pe te LE~ co | pe te LE~ co | pe te LE~ co | pe te LE~ co;;;;Sim
Swing 2;Xequerê;-- -- -- -- | -- -- -- -- | -- -- -- -- | -- -- le co;pe -- le -- | pe -- le co | pe -- le -- | pe -- le co;;;;Sim
Swing 2;Dobra;-- -- -- -- | -- -- -- -- | -- -- -- -- | -- -- le co;-- -- -- -- | -- -- le co | -- -- -- -- | -- -- le co;;;;Sim
Swing 2;Fundo 1;-- -- -- -- | -- -- -- -- | -- -- -- -- | -- -- -- --;-- -- -- -- | pe -- -- -- | -- -- -- -- | pe -- -- --;;;;Sim
Swing 2;Fundo 2;-- -- -- -- | -- -- -- -- | -- -- -- -- | -- -- -- --;pe -- -- -- | -- -- -- -- | pe -- -- -- | -- -- -- --;;;;Sim
Swing 3;Repique;-- -- -- -- | -- -- -- -- | -- -- -- -- | -- -- -- --;-- -- le -- | -- -- le -- | -- -- le -- | -- -- le --;;;;Sim
Swing 3;Caixa;-- -- -- -- | -- -- -- -- | -- -- -- -- | -- -- -- --;(pe) (te) LE~ co | pe te LE~ co | pe te LE~ co | pe te LE~ co;;;;Sim
Swing 3;Xequerê;-- -- -- -- | -- -- -- -- | -- -- -- -- | -- -- -- --;pe -- le co | pe -- le co | pe -- le co | pe -- le co;;;;Sim
Swing 3;Dobra;pe -- -- co | -- -- -- co | -- -- le -- | pe -- -- --;pe -- -- co | -- -- -- co | -- -- le -- | pe -- -- --;;;;Sim
Swing 3;Fundo 1;-- -- -- -- | -- -- -- -- | -- -- -- -- | pe -- le --;-- -- -- -- | pe -- le -- | -- -- -- -- | pe -- le --;;;;Sim
Swing 3;Fundo 2;-- -- -- -- | -- -- -- -- | -- -- -- -- | pe -- le --;-- -- -- -- | pe -- le -- | -- -- -- -- | pe -- le --;;;;Sim
Tamanquinho;Dobra;pe -- -- -- | -- -- -- -- | pe -- -- co | pe -- le co;pe -- -- -- | -- -- -- -- | pe -- -- co | pe -- le co;;;;
Tamanquinho;Caixa;pe -- -- -- | pe -- -- co | -- te -- co | pe -- -- --;pe -- -- -- | pe -- -- co | -- te -- co -- | pe -- -- --;;;;
Tamanquinho;Fundo 1;-- -- -- -- | pe -- -- -- | -- -- -- -- | pe -- -- --;-- -- -- -- | pe -- -- -- | -- -- -- -- | pe -- -- --;;;;
Tamanquinho;Fundo 2;pe -- -- -- | -- -- -- -- | pe -- -- -- | -- -- -- --;pe -- -- -- | -- -- -- -- | pe -- -- -- | -- -- -- --;;;;
Tamanquinho;Repique;pe.pe -- le co | pe -- le co | -- te -- co | pe -- -- --;pe.pe -- le co | pe -- le co | -- te -- co | pe -- -- --;;;;
Tamanquinho;Xequerê;pe -- le co | pe -- -- -- | pe -- -- -- | pe -- -- --;pe -- le co | pe -- -- -- | pe -- -- -- | pe -- -- --;;;;
TeLeCo;Dobra;-- te le co | -- te le co | -- te le co | -- te le co;-- te le co | -- te le co | -- te le co | -- te le co;;;;
TeLeCo;Caixa;-- te le co | -- te le co | -- te le co | -- te le co;-- te le co | -- te le co | -- te le co | -- te le co;;;;
TeLeCo;Fundo 1;-- te le co | -- te le co | -- te le co | -- te le co;-- te le co | -- te le co | -- te le co | -- te le co;;;;
TeLeCo;Fundo 2;-- te le co | -- te le co | -- te le co | -- te le co;-- te le co | -- te le co | -- te le co | -- te le co;;;;
TeLeCo;Repique;-- te le co | -- te le co | -- te le co | -- te le co;-- te le co | -- te le co | -- te le co | -- te le co;;;;
TeLeCo;Xequerê;-- te le co | -- te le co | -- te le co | -- te le co;-- te le co | -- te le co | -- te le co | -- te le co;;;;
